Title,Wirkstoff,Wirkstoff-Gruppe,Max. Einsätze pro Jahr,Dosis pro HL,Dosis pro HA,Karenzzeit,bienengefährlich,Einschränkung
Sercadis,"Maximal 3 Behandlungen pro Jahr mit Fluxapyroxad, maximal 4 Behandlungen pro Jahr mit Carboxamiden","Maximal 3 Behandlungen pro Jahr mit Fluxapyroxad, maximal 4 Behandlungen pro Jahr mit Carboxamiden","Maximal 3 Behandlungen pro Jahr mit Fluxapyroxad, maximal 4 Behandlungen pro Jahr mit Carboxamiden","Maximal 3 Behandlungen pro Jahr mit Fluxapyroxad, maximal 4 Behandlungen pro Jahr mit Carboxamiden","Maximal 3 Behandlungen pro Jahr mit Fluxapyroxad, maximal 4 Behandlungen pro Jahr mit Carboxamiden","Maximal 3 Behandlungen pro Jahr mit Fluxapyroxad, maximal 4 Behandlungen pro Jahr mit Carboxamiden",,"Maximal 3 Behandlungen pro Jahr mit Fluxapyroxad, maximal 4 Behandlungen pro Jahr mit Carboxamiden"
Serenade Aso,8 l,,8 l,,8 l,,,
Serenade Max,3,,3,,3,3,,
Several,2,,,2,,2,,
Siaram 20 GD,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Siaram 20 WG,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,max. 4 kg Reinkupfer pro ha und Jahr,,max. 4 kg Reinkupfer pro ha und Jahr
Sicuram 50 WDG,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr",,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr","nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr",,"nur in der Vorblüte, max. 4 kg Reinkupfer pro ha und Jahr"
Silglif CL Plus,9 l/Jahr,,,,9 l/Jahr,,,
Silglif ST,9 l/Jahr,,,,9 l/Jahr,,,
Sinsajo,nur in der Vorblüte,,nur in der Vorblüte,nur in der Vorblüte,nur in der Vorblüte,nur in der Vorblüte,,nur in der Vorblüte
Sipcamol E,20,,20,20,20,20,,
Sivanto Prime,Maximal 1 Behandlung jedes zweite Jahr,,Maximal 1 Behandlung jedes zweite Jahr,Maximal 1 Behandlung jedes zweite Jahr,Maximal 1 Behandlung jedes zweite Jahr,Maximal 1 Behandlung jedes zweite Jahr,Maximal 1 Behandlung jedes zweite Jahr,Maximal 1 Behandlung jedes zweite Jahr
Solado Gold,7,,,,7,7,,
Spada 200 EC,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr
Spada 25 WDG,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr
Spada 50 WG,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr
Spada WDG,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr
Spintor,Maximal 3 Behandlungen mit Spinosynen pro Jahr,Maximal 3 Behandlungen mit Spinosynen pro Jahr,Maximal 3 Behandlungen mit Spinosynen pro Jahr,Maximal 3 Behandlungen mit Spinosynen pro Jahr,Maximal 3 Behandlungen mit Spinosynen pro Jahr,Maximal 3 Behandlungen mit Spinosynen pro Jahr,Maximal 3 Behandlungen mit Spinosynen pro Jahr,Maximal 3 Behandlungen mit Spinosynen pro Jahr
Sponsor,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
Spotlight Plus,7,,,,7,7,,
Sprintex New L,7,,,7,7,7,,
Square EC,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
Stella EC,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
Steward,Nur bis 60 Tage vor Erntebeginn,,Nur bis 60 Tage vor Erntebeginn,Nur bis 60 Tage vor Erntebeginn,Nur bis 60 Tage vor Erntebeginn,Nur bis 60 Tage vor Erntebeginn,Nur bis 60 Tage vor Erntebeginn,Nur bis 60 Tage vor Erntebeginn
Success,Maximal 3 Behandlungen mit Spinosynen pro Jahr,Maximal 3 Behandlungen mit Spinosynen pro Jahr,Maximal 3 Behandlungen mit Spinosynen pro Jahr,Maximal 3 Behandlungen mit Spinosynen pro Jahr,Maximal 3 Behandlungen mit Spinosynen pro Jahr,Maximal 3 Behandlungen mit Spinosynen pro Jahr,Maximal 3 Behandlungen mit Spinosynen pro Jahr,Maximal 3 Behandlungen mit Spinosynen pro Jahr
Sulfar,5,,,5,,5,,
Sulfolac DF,5,,,5,,5,,
Sulfur 80 WG,5,,,5,,5,,
Superbo,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr
Support 100 EC,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
Suprafos EC,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr,max. 4 Behandlungen mit Phosphorestern pro Jahr
Swing ex-tra,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr
Sword up,"max. 3 Behandlungen pro Jahr, davon mindestens 1 Behandlung in der Vorblüte",,"max. 3 Behandlungen pro Jahr, davon mindestens 1 Behandlung in der Vorblüte","max. 3 Behandlungen pro Jahr, davon mindestens 1 Behandlung in der Vorblüte","max. 3 Behandlungen pro Jahr, davon mindestens 1 Behandlung in der Vorblüte","max. 3 Behandlungen pro Jahr, davon mindestens 1 Behandlung in der Vorblüte","max. 3 Behandlungen pro Jahr, davon mindestens 1 Behandlung in der Vorblüte","max. 3 Behandlungen pro Jahr, davon mindestens 1 Behandlung in der Vorblüte"
Syllit 400 SC,max. 3 Behandlungen mit Dodine pro Jahr,,max. 3 Behandlungen mit Dodine pro Jahr,max. 3 Behandlungen mit Dodine pro Jahr,max. 3 Behandlungen mit Dodine pro Jahr,max. 3 Behandlungen mit Dodine pro Jahr,,max. 3 Behandlungen mit Dodine pro Jahr
Syllit 544 SC,max. 3 Behandlungen mit Dodine pro Jahr,,max. 3 Behandlungen mit Dodine pro Jahr,max. 3 Behandlungen mit Dodine pro Jahr,max. 3 Behandlungen mit Dodine pro Jahr,max. 3 Behandlungen mit Dodine pro Jahr,,max. 3 Behandlungen mit Dodine pro Jahr
Syllit 65,max. 3 Behandlungen mit Dodine pro Jahr,,max. 3 Behandlungen mit Dodine pro Jahr,max. 3 Behandlungen mit Dodine pro Jahr,max. 3 Behandlungen mit Dodine pro Jahr,max. 3 Behandlungen mit Dodine pro Jahr,,max. 3 Behandlungen mit Dodine pro Jahr
Syllit flo,max. 3 Behandlungen mit Dodine pro Jahr,,max. 3 Behandlungen mit Dodine pro Jahr,max. 3 Behandlungen mit Dodine pro Jahr,max. 3 Behandlungen mit Dodine pro Jahr,max. 3 Behandlungen mit Dodine pro Jahr,,max. 3 Behandlungen mit Dodine pro Jahr
"Systhane 2,5 Plus","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
Systhane 20 EW,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
Taifun MK CL,9 l/Jahr,,,,9 l/Jahr,,,
Tarlys,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr,,max. 3 Behandlungen mit Anilino-Pyrimidinen pro Jahr
Tenor SC,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,max. 2 Behandlungen gegen Spinnmilben pro Jahr,,max. 2 Behandlungen gegen Spinnmilben pro Jahr
Teppeki,X,,X,,X,X,X,
Tetracap 80 DG,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,max. 14 Behandlungen mit Captan und Dithianon pro Jahr,,max. 14 Behandlungen mit Captan und Dithianon pro Jahr
Thiamon 80 Plus,5,,,5,,5,,
Thiamon Plus,9 kg,,,9 kg,9 kg,,,
Thiocur 20 EW,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
Thiopron,9 l,,,,9 l,,,
Thiovit,9 kg,,,9 kg,9 kg,,,
Tioflor WDG,5,,,5,,5,,
Tiogel 80 WDG,5,,,5,,5,,
Tiogold Disperss,5,,,5,,5,,
Tiolene,5,,5,,5,5,,
Tiolene 80 WG,5,,,5,,5,,
Tiosol 80 WG,5,,,5,,5,,
Tiospor WG,5,,,5,,5,,
Tiovit Jet,9 kg,,,9 kg,9 kg,,,
Tiovit L,5,,,5,,5,,
Tiowetting DF,5,,,5,,5,,
Topas 10 EC,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
"Topas 2,5 WG","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
Topas 200 EW,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr","max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr",,"max. 4 Behandlungen mit Sterolsynthesehemmern mit demselben Wirkstoff pro Jahr; max. 6 Behandlungen mit Sterolsynthesehemmern pro Jahr, zusätzlich maximal 2 weitere Behandlungen mit Difenoconazol gegen Schorf pro Jahr"
